NAME,CRAG,DATE,GRADE,STYLE,COMMENT
Tea With Elmarie,Rocklands/Campground,07/02/2019,8A+,Redpoint,The hardest possible way up this side of the boulder but cool crimps and fun moves. First time the foot cut felt anywhere near controlled.
Italian Arrogance,Mt Woodson,03/01/2019,8A,Redpoint,So happy! I tried this a year ago on my birthday for the first time and it feels like a great early birthday present to see improvement within myself over the last year.  Today was an amazing day for so many reasons and this was the icing on the cake.
Beefy Gecko,Bishop/Sad Boulders,03/12/2016,8A,Redpoint,Sort of in disbelief. Basically a sport climb.
Corridor Variation,Outer Woodson,04/05/2020,7C+,Redpoint,Amidst earthquakes and a pandemic...
Innocent Exile,Red Rock/Gateway Canyon,01/12/2020,7C+,Redpoint,I am soft because I had to use a left shoe.
Brooke'S Shield,Mt Woodson,11/22/2019,7C+,Redpoint,"Over the past two weeks, I have been out to this problem three times.  It seemed reasonably graded at V9 and then last weekend as my partner was practicing the topout, half of the right crux handhold broke off.  First ascent post-break."
Pinotage,Rocklands/Sassies,06/20/2019,7C+,Redpoint,Perfect boulder problem! I am happy to have not blown out my hamstring on it this trip. (Sit)
Une Rime Stupide,Rocklands/Roadcrew,06/11/2019,7C+,Redpoint,The hardest I had to fight to stop rotating on a jug.
Paula Abdul,Rocklands/Sassies,06/06/2019,7C+,Redpoint,Mini epic falling off the last move six times...perfect.
A Matter Of Power,Rocklands/Roadside,06/02/2019,7C+,Redpoint,I had to reassure myself that I could do Question of Balance.
Joseph Malbos,Rocklands/Otherside,05/29/2019,7C+,Redpoint,So Malbos
Annihilation Of A Nation,Bishop/Sacreds,01/05/2019,7C+,Redpoint,Probably first ascent post-break. Couple hard moves off the start and traverse into a cool V5 arete.
Acid Wash,Bishop/Happy Boulders,12/30/2018,7C+,Redpoint,Barefoot
Throw Yourself Away,Rocklands/Close Plateau,07/23/2017,7C+,Redpoint,Intro move is sooo cool.  Definitely softer if you are tall...I am not...and I broke my hamstring on this thing.
Weichei,Rocklands/Close Plateau,07/16/2017,7C+,Redpoint,I can heel hook!
Caroline,Rocklands/Roadside,06/26/2017,7C+,Redpoint,!!!
Section,Rocklands/The Section,06/17/2017,7C+,Redpoint,Felt a couple kilos easier after some stomach flu.
Ghost In The Darkness,Rocklands/Sassies,06/06/2017,7C+,Redpoint,First real V10 in a session. I am glad I know how to crack climb.
Gleaner Sit,Bishop/Happy Boulders,02/16/2017,7C+,Redpoint,Shouldery static power. No avoidance beta. This thing is great.
Resident Evil,Joe's Valley/Area 51,10/08/2016,7C+,Redpoint,First V10 in a day. Also did the finish as it was cooking in the sun.
Bubba Gets Commited,Bishop/Happy Boulders,05/21/2016,7C+,Redpoint,Pulling through on painfully sharp pockets never felt so good.
Dentons Remorse,Bishop/Druid Stones,05/02/2016,7C+,Redpoint,"I really like all the problems on this wall, and this one has such a variety of movement.  Many different ways to get off the ground."
